# t_s, edges, edges_per_s, motor_rpm, rotor_rpm
0.050,0,0.0,0,0
0.100,0,0.0,0,0
0.150,0,0.0,0,0
0.200,0,0.0,0,0
0.251,0,0.0,0,0
0.301,0,0.0,0,0
0.351,0,0.0,0,0
0.401,0,0.0,0,0
0.451,0,0.0,0,0
0.501,0,0.0,0,0
0.551,0,0.0,0,0
0.601,0,0.0,0,0
0.651,0,0.0,0,0
0.701,0,0.0,0,0
0.751,0,0.0,0,0
0.801,0,0.0,0,0
0.851,0,0.0,0,0
0.902,0,0.0,0,0
0.952,0,0.0,0,0
1.002,0,0.0,0,0
1.052,0,0.0,0,0
1.102,0,0.0,0,0
1.152,0,0.0,0,0
1.202,0,0.0,0,0
1.252,0,0.0,0,0
1.302,0,0.0,0,0
1.353,0,0.0,0,0
1.403,0,0.0,0,0
1.453,0,0.0,0,0
1.503,0,0.0,0,0
1.553,0,0.0,0,0
1.603,0,0.0,0,0
1.653,0,0.0,0,0
1.703,0,0.0,0,0
1.753,0,0.0,0,0
1.804,0,0.0,0,0
1.854,0,0.0,0,0
1.904,0,0.0,0,0
1.954,0,0.0,0,0
2.004,0,0.0,0,0
2.054,0,0.0,0,0
2.104,0,0.0,0,0
2.154,0,0.0,0,0
2.204,0,0.0,0,0
2.254,0,0.0,0,0
2.305,0,0.0,0,0
2.355,0,0.0,0,0
2.405,0,0.0,0,0
2.455,0,0.0,0,0
2.505,0,0.0,0,0
2.555,0,0.0,0,0
2.605,0,0.0,0,0
2.655,0,0.0,0,0
2.705,0,0.0,0,0
2.756,0,0.0,0,0
2.806,0,0.0,0,0
2.856,0,0.0,0,0
2.906,0,0.0,0,0
2.956,0,0.0,0,0
3.006,0,0.0,0,0
3.056,0,0.0,0,0
3.106,0,0.0,0,0
3.156,0,0.0,0,0
3.206,0,0.0,0,0
3.256,0,0.0,0,0
3.307,0,0.0,0,0
3.357,0,0.0,0,0
3.407,0,0.0,0,0
3.457,0,0.0,0,0
3.507,0,0.0,0,0
3.557,0,0.0,0,0
3.607,0,0.0,0,0
3.657,0,0.0,0,0
3.707,0,0.0,0,0
3.757,0,0.0,0,0
3.807,0,0.0,0,0
3.857,0,0.0,0,0
3.908,0,0.0,0,0
3.958,0,0.0,0,0
4.008,0,0.0,0,0
4.058,0,0.0,0,0
4.108,0,0.0,0,0
4.158,0,0.0,0,0
4.208,0,0.0,0,0
4.258,0,0.0,0,0
4.308,0,0.0,0,0
4.358,0,0.0,0,0
4.408,0,0.0,0,0
4.459,0,0.0,0,0
4.509,0,0.0,0,0
4.559,0,0.0,0,0
4.609,0,0.0,0,0
4.659,0,0.0,0,0
4.709,0,0.0,0,0
4.759,0,0.0,0,0
4.809,0,0.0,0,0
4.859,0,0.0,0,0
4.909,0,0.0,0,0
4.960,0,0.0,0,0
5.010,0,0.0,0,0
5.060,0,0.0,0,0
5.110,0,0.0,0,0
5.160,0,0.0,0,0
5.210,0,0.0,0,0
5.260,0,0.0,0,0
5.310,0,0.0,0,0
5.360,0,0.0,0,0
5.411,0,0.0,0,0
5.461,0,0.0,0,0
5.511,0,0.0,0,0
5.561,0,0.0,0,0
5.611,0,0.0,0,0
5.661,0,0.0,0,0
5.711,0,0.0,0,0
5.761,0,0.0,0,0
5.811,0,0.0,0,0
5.861,0,0.0,0,0
5.911,0,0.0,0,0
5.961,0,0.0,0,0
6.011,0,0.0,0,0
6.062,0,0.0,0,0
6.112,0,0.0,0,0
6.162,0,0.0,0,0
6.212,0,0.0,0,0
6.262,0,0.0,0,0
6.312,0,0.0,0,0
6.362,0,0.0,0,0
6.412,0,0.0,0,0
6.462,0,0.0,0,0
6.512,0,0.0,0,0
6.562,0,0.0,0,0
6.613,0,0.0,0,0
6.663,0,0.0,0,0
6.713,0,0.0,0,0
6.763,0,0.0,0,0
6.813,0,0.0,0,0
6.863,0,0.0,0,0
6.913,0,0.0,0,0
6.963,0,0.0,0,0
7.013,0,0.0,0,0
7.063,0,0.0,0,0
7.113,0,0.0,0,0
7.163,0,0.0,0,0
7.214,0,0.0,0,0
7.264,0,0.0,0,0
7.314,0,0.0,0,0
7.364,0,0.0,0,0
7.414,0,0.0,0,0
7.464,0,0.0,0,0
7.514,0,0.0,0,0
7.565,0,0.0,0,0
7.615,0,0.0,0,0
7.665,0,0.0,0,0
7.715,0,0.0,0,0
7.765,0,0.0,0,0
7.815,0,0.0,0,0
7.865,0,0.0,0,0
7.915,0,0.0,0,0
7.965,0,0.0,0,0
8.016,0,0.0,0,0
8.066,0,0.0,0,0
8.116,0,0.0,0,0
8.166,0,0.0,0,0
8.216,0,0.0,0,0
8.266,0,0.0,0,0
8.316,0,0.0,0,0
8.366,0,0.0,0,0
8.416,0,0.0,0,0
8.466,0,0.0,0,0
8.516,0,0.0,0,0
8.567,0,0.0,0,0
8.617,0,0.0,0,0
8.667,0,0.0,0,0
8.717,0,0.0,0,0
8.767,0,0.0,0,0
8.817,0,0.0,0,0
8.867,0,0.0,0,0
8.917,0,0.0,0,0
8.967,0,0.0,0,0
9.017,0,0.0,0,0
9.068,0,0.0,0,0
9.118,0,0.0,0,0
9.168,0,0.0,0,0
9.218,0,0.0,0,0
9.268,0,0.0,0,0
9.318,0,0.0,0,0
9.368,0,0.0,0,0
9.418,0,0.0,0,0
9.468,0,0.0,0,0
9.519,0,0.0,0,0
9.569,0,0.0,0,0
9.619,0,0.0,0,0
9.669,0,0.0,0,0
9.719,0,0.0,0,0
9.769,0,0.0,0,0
9.819,0,0.0,0,0
9.869,0,0.0,0,0
9.919,0,0.0,0,0
9.969,0,0.0,0,0
10.019,0,0.0,0,0
10.069,0,0.0,0,0
10.120,0,0.0,0,0
10.170,0,0.0,0,0
10.220,0,0.0,0,0
10.270,0,0.0,0,0
10.320,0,0.0,0,0
10.370,0,0.0,0,0
10.420,0,0.0,0,0
10.470,0,0.0,0,0
10.520,0,0.0,0,0
10.570,0,0.0,0,0
10.620,0,0.0,0,0
10.670,0,0.0,0,0
10.720,0,0.0,0,0
10.771,0,0.0,0,0
10.821,0,0.0,0,0
10.871,0,0.0,0,0
10.921,0,0.0,0,0
10.971,0,0.0,0,0
11.021,0,0.0,0,0
11.071,0,0.0,0,0
11.121,0,0.0,0,0
11.171,0,0.0,0,0
11.221,0,0.0,0,0
11.272,0,0.0,0,0
11.322,0,0.0,0,0
11.372,0,0.0,0,0
11.422,0,0.0,0,0
11.472,0,0.0,0,0
11.522,0,0.0,0,0
11.572,0,0.0,0,0
11.622,0,0.0,0,0
11.673,0,0.0,0,0
11.723,0,0.0,0,0
11.773,0,0.0,0,0
11.823,0,0.0,0,0
11.873,0,0.0,0,0
11.923,0,0.0,0,0
11.973,0,0.0,0,0
12.023,0,0.0,0,0
12.074,0,0.0,0,0
12.124,0,0.0,0,0
12.174,0,0.0,0,0
12.224,0,0.0,0,0
12.274,0,0.0,0,0
12.324,0,0.0,0,0
12.374,0,0.0,0,0
12.424,0,0.0,0,0
12.474,0,0.0,0,0
12.524,0,0.0,0,0
12.575,0,0.0,0,0
12.625,0,0.0,0,0
12.675,0,0.0,0,0
12.725,0,0.0,0,0
12.775,0,0.0,0,0
12.825,0,0.0,0,0
12.875,0,0.0,0,0
12.925,0,0.0,0,0
12.975,0,0.0,0,0
13.025,0,0.0,0,0
13.075,0,0.0,0,0
13.125,0,0.0,0,0
13.175,0,0.0,0,0
13.226,0,0.0,0,0
13.276,0,0.0,0,0
13.326,0,0.0,0,0
13.376,0,0.0,0,0
13.426,0,0.0,0,0
13.476,0,0.0,0,0
13.526,0,0.0,0,0
13.576,0,0.0,0,0
13.626,0,0.0,0,0
13.676,0,0.0,0,0
13.726,0,0.0,0,0
13.776,0,0.0,0,0
13.826,0,0.0,0,0
13.876,0,0.0,0,0
13.927,0,0.0,0,0
13.977,0,0.0,0,0
14.027,0,0.0,0,0
14.077,0,0.0,0,0
14.127,0,0.0,0,0
14.177,0,0.0,0,0
14.227,0,0.0,0,0
14.277,0,0.0,0,0
14.327,0,0.0,0,0
14.377,0,0.0,0,0
14.428,0,0.0,0,0
14.478,0,0.0,0,0
14.528,0,0.0,0,0
14.578,0,0.0,0,0
14.628,0,0.0,0,0
14.678,0,0.0,0,0
14.728,0,0.0,0,0
14.778,0,0.0,0,0
14.828,0,0.0,0,0
14.878,0,0.0,0,0
14.929,0,0.0,0,0
14.979,0,0.0,0,0
15.029,0,0.0,0,0
15.079,0,0.0,0,0
15.129,0,0.0,0,0
15.179,0,0.0,0,0
15.229,0,0.0,0,0
15.279,0,0.0,0,0
15.329,0,0.0,0,0
15.380,0,0.0,0,0
15.430,0,0.0,0,0
15.480,0,0.0,0,0
15.530,0,0.0,0,0
15.580,0,0.0,0,0
15.630,0,0.0,0,0
15.680,0,0.0,0,0
15.730,0,0.0,0,0
15.780,0,0.0,0,0
15.831,0,0.0,0,0
15.881,0,0.0,0,0
15.931,0,0.0,0,0
15.981,0,0.0,0,0
16.031,0,0.0,0,0
16.081,0,0.0,0,0
16.131,0,0.0,0,0
16.181,0,0.0,0,0
16.231,0,0.0,0,0
16.282,0,0.0,0,0
16.332,0,0.0,0,0
16.382,0,0.0,0,0
16.432,0,0.0,0,0
16.482,0,0.0,0,0
16.532,0,0.0,0,0
16.582,0,0.0,0,0
16.632,0,0.0,0,0
16.682,0,0.0,0,0
16.732,0,0.0,0,0
16.782,0,0.0,0,0
16.833,0,0.0,0,0
16.883,0,0.0,0,0
16.933,0,0.0,0,0
16.983,0,0.0,0,0
17.033,0,0.0,0,0
17.083,0,0.0,0,0
17.133,0,0.0,0,0
17.183,0,0.0,0,0
17.233,0,0.0,0,0
17.283,0,0.0,0,0
17.333,0,0.0,0,0
17.383,0,0.0,0,0
17.434,0,0.0,0,0
17.484,0,0.0,0,0
17.534,0,0.0,0,0
17.584,0,0.0,0,0
17.634,0,0.0,0,0
17.684,0,0.0,0,0
17.734,0,0.0,0,0
17.784,0,0.0,0,0
17.834,0,0.0,0,0
17.884,0,0.0,0,0
17.934,0,0.0,0,0
17.984,0,0.0,0,0
18.035,0,0.0,0,0
18.085,0,0.0,0,0
18.135,0,0.0,0,0
18.185,0,0.0,0,0
18.235,0,0.0,0,0
18.285,0,0.0,0,0
18.335,0,0.0,0,0
18.385,0,0.0,0,0
18.435,0,0.0,0,0
18.485,0,0.0,0,0
18.536,0,0.0,0,0
18.586,0,0.0,0,0
18.636,0,0.0,0,0
18.686,0,0.0,0,0
18.736,0,0.0,0,0
18.786,0,0.0,0,0
18.836,0,0.0,0,0
18.886,0,0.0,0,0
18.936,0,0.0,0,0
18.986,0,0.0,0,0
19.037,0,0.0,0,0
19.087,0,0.0,0,0
19.137,0,0.0,0,0
19.187,0,0.0,0,0
19.237,0,0.0,0,0
19.287,0,0.0,0,0
19.337,0,0.0,0,0
19.387,0,0.0,0,0
19.437,0,0.0,0,0
19.487,0,0.0,0,0
19.537,0,0.0,0,0
19.588,0,0.0,0,0
19.638,0,0.0,0,0
19.688,0,0.0,0,0
19.738,0,0.0,0,0
19.788,0,0.0,0,0
19.838,0,0.0,0,0
19.888,0,0.0,0,0
19.938,0,0.0,0,0
19.988,0,0.0,0,0
20.038,0,0.0,0,0
20.089,0,0.0,0,0
20.139,0,0.0,0,0
20.189,0,0.0,0,0
20.239,0,0.0,0,0
20.289,0,0.0,0,0
20.339,0,0.0,0,0
20.389,0,0.0,0,0
20.439,0,0.0,0,0
20.489,0,0.0,0,0
20.539,0,0.0,0,0
