# Nacelle thrust stand run log
# One row per settled COLLECTIVE plateau. Read each instrument independently at the
# plateau; you do not need synchronised devices.
#
# Rotor radius R = 457 mm (confirmed 4 Sep 2026). If R changes, recompute z_over_R.
#
# Record before the first run, from doc 05a:
#   servo_us -> pitch slope/intercept:  ......................
#   blade A/B tracking worst case:      ......................
#   governor gain (if changed):         ......................
#   pack chemistry / cells:             ......................
#   ambient temp:                       ......................
#
# height_mm        rotor plane to floor, MEASURED with a tape, not the cut post length
# z_over_R         height_mm / 457
# head_rpm_cmd     the governor setpoint you asked for
# head_rpm_actual  what the tach or telemetry actually read. THESE DIFFER. Required.
# collective_deg   blade pitch at 0.75R (r = 343 mm), from the doc 05a calibration
# servo_us         raw servo command, for traceability back to the calibration
# throttle_pct     governor setpoint record only. NOT a power setting on this head.
# thrust_lbf       settled value from the load cell
# volts            pack voltage UNDER LOAD, from the inline watt meter
# amps             from the inline watt meter, not from ESC telemetry
#
# Flight-test anchor, per nacelle: hover 1800 rpm, 446 W (21 A at 21 V). Your OGE
# row at 1800 rpm should land near it. Cruise (1000 rpm, 185 W) is forward flight
# and will not appear in this log.
# pack_soc         state of charge note, e.g. "full", "3.85V/cell"
# notes            anything odd: vibration, drift, tare wander, governor hunting, sound
#
# Include the FLAT PITCH point at each RPM: thrust near zero, watts = drivetrain drag.
#
height_mm,z_over_R,head_rpm_cmd,head_rpm_actual,collective_deg,servo_us,throttle_pct,thrust_lbf,volts,amps,pack_soc,notes
229,0.50,1800,,,,,,,,,flat pitch reference
229,0.50,1800,,4.0,,,,,,,
229,0.50,1800,,7.0,,,,,,,
229,0.50,1800,,9.0,,,,,,,
229,0.50,1800,,11.0,,,,,,,
229,0.50,1800,,13.0,,,,,,,
229,0.50,1800,,15.0,,,,,,,
914,2.00,1600,,,,,,,,,flat pitch reference
914,2.00,1600,,6.0,,,,,,,
914,2.00,1600,,9.0,,,,,,,
914,2.00,1600,,11.0,,,,,,,
914,2.00,1600,,13.0,,,,,,,
914,2.00,1600,,15.0,,,,,,,
914,2.00,1600,,17.0,,,,,,,
914,2.00,1800,,,,,,,,,flat pitch reference
914,2.00,1800,,4.0,,,,,,,
914,2.00,1800,,7.0,,,,,,,
914,2.00,1800,,9.0,,,,,,,
914,2.00,1800,,11.0,,,,,,,
914,2.00,1800,,13.0,,,,,,,
914,2.00,1800,,15.0,,,,,,,
914,2.00,2000,,,,,,,,,flat pitch reference
914,2.00,2000,,3.0,,,,,,,
914,2.00,2000,,6.0,,,,,,,
914,2.00,2000,,8.0,,,,,,,
914,2.00,2000,,10.0,,,,,,,
914,2.00,2000,,12.0,,,,,,,
914,2.00,2000,,14.0,,,,,,,
