iso_time,epoch_s,board_ms,thrust_lbf,thrust_N,raw_counts
2026-09-17T15:22:23.879,1789683743.879,58128,-0.0006,-0.003,75023
2026-09-17T15:22:27.107,1789683747.107,61522,-0.0005,-0.002,75007
2026-09-17T15:22:31.549,1789683751.550,66001,-0.0008,-0.003,75053
2026-09-17T15:23:11.074,1789683791.074,105334,-0.0199,-0.088,77146
2026-09-17T15:23:11.074,1789683791.074,105450,-0.0205,-0.091,77293
2026-09-17T15:23:11.074,1789683791.075,105565,-0.0207,-0.092,77336
2026-09-17T15:23:11.074,1789683791.075,105680,-0.0203,-0.090,77449
2026-09-17T15:23:11.478,1789683791.479,105796,-0.0204,-0.091,77509
2026-09-17T15:23:11.479,1789683791.479,105911,-0.0204,-0.091,77393
2026-09-17T15:23:11.479,1789683791.479,106027,-0.0203,-0.090,77235
2026-09-17T15:23:11.883,1789683791.883,106142,-0.0205,-0.091,77348
2026-09-17T15:23:11.883,1789683791.883,106257,-0.0207,-0.092,77307
2026-09-17T15:23:11.883,1789683791.883,106373,-0.0206,-0.092,77253
2026-09-17T15:23:11.883,1789683791.884,106488,-0.0200,-0.089,77397
2026-09-17T15:23:12.287,1789683792.287,106603,-0.0199,-0.089,77248
2026-09-17T15:23:12.287,1789683792.288,106719,-0.0204,-0.091,77369
2026-09-17T15:23:12.287,1789683792.288,106834,-0.0200,-0.089,77366
2026-09-17T15:23:12.692,1789683792.692,106949,-0.0199,-0.089,77352
2026-09-17T15:23:12.692,1789683792.693,107065,-0.0206,-0.092,77358
2026-09-17T15:23:12.693,1789683792.693,107181,-0.0199,-0.089,77243
2026-09-17T15:23:12.693,1789683792.693,107296,-0.0198,-0.088,77381
2026-09-17T15:23:13.096,1789683793.096,107411,-0.0198,-0.088,77294
2026-09-17T15:23:13.096,1789683793.097,107527,-0.0190,-0.085,77259
2026-09-17T15:23:13.096,1789683793.097,107642,-0.0200,-0.089,77290
2026-09-17T15:23:13.500,1789683793.501,107757,-0.0199,-0.088,77182
2026-09-17T15:23:13.501,1789683793.501,107873,-0.0196,-0.087,77363
2026-09-17T15:23:13.501,1789683793.502,107988,-0.0192,-0.086,77212
2026-09-17T15:23:13.501,1789683793.502,108103,-0.0198,-0.088,77305
2026-09-17T15:23:13.903,1789683793.903,108219,-0.0192,-0.086,77437
2026-09-17T15:23:13.903,1789683793.903,108335,-0.0194,-0.086,77333
2026-09-17T15:23:13.903,1789683793.904,108449,-0.0187,-0.083,77237
2026-09-17T15:23:14.306,1789683794.307,108565,-0.0180,-0.080,77047
2026-09-17T15:23:14.306,1789683794.307,108681,-0.0195,-0.087,76979
2026-09-17T15:23:14.307,1789683794.307,108795,-0.0189,-0.084,77205
2026-09-17T15:23:14.307,1789683794.307,108911,-0.0188,-0.084,77161
2026-09-17T15:23:14.711,1789683794.712,109027,-0.0185,-0.082,77039
2026-09-17T15:23:14.712,1789683794.712,109142,-0.0191,-0.085,77113
2026-09-17T15:23:14.712,1789683794.712,109257,-0.0182,-0.081,76726
2026-09-17T15:23:15.112,1789683795.113,109373,-0.0188,-0.083,77597
2026-09-17T15:23:15.112,1789683795.113,109489,-0.0173,-0.077,77472
2026-09-17T15:23:15.113,1789683795.113,109603,-0.0188,-0.083,77014
2026-09-17T15:23:15.113,1789683795.113,109719,-0.0192,-0.085,78525
2026-09-17T15:23:15.514,1789683795.514,109835,-0.0201,-0.089,76097
2026-09-17T15:23:15.514,1789683795.515,109949,-0.0206,-0.091,76015
2026-09-17T15:23:15.514,1789683795.515,110065,-0.0182,-0.081,76911
2026-09-17T15:23:15.915,1789683795.916,110181,0.0750,0.333,51380
2026-09-17T15:23:15.915,1789683795.916,110296,0.1411,0.628,76870
2026-09-17T15:23:15.916,1789683795.916,110411,-0.0059,-0.026,62915
2026-09-17T15:23:15.916,1789683795.916,110527,0.2530,1.126,34829
2026-09-17T15:23:16.320,1789683796.321,110642,0.3456,1.537,20633
2026-09-17T15:23:16.321,1789683796.321,110757,0.4237,1.885,25654
2026-09-17T15:23:16.321,1789683796.321,110873,0.4925,2.191,7124
2026-09-17T15:23:16.725,1789683796.726,110988,0.5082,2.260,-5124
2026-09-17T15:23:16.726,1789683796.726,111104,0.6834,3.040,4796
2026-09-17T15:23:16.726,1789683796.726,111219,0.5364,2.386,15485
2026-09-17T15:23:16.726,1789683796.727,111335,0.2307,1.026,73988
2026-09-17T15:23:17.130,1789683797.130,111450,-0.0081,-0.036,68905
2026-09-17T15:23:17.130,1789683797.130,111565,0.0613,0.273,66650
2026-09-17T15:23:17.130,1789683797.131,111681,0.0765,0.340,65146
2026-09-17T15:23:17.534,1789683797.535,111796,0.0557,0.248,68686
2026-09-17T15:23:17.535,1789683797.535,111911,0.0434,0.193,73858
2026-09-17T15:23:17.535,1789683797.535,112027,-0.0085,-0.038,75672
2026-09-17T15:23:17.535,1789683797.536,112142,-0.0131,-0.058,76154
2026-09-17T15:23:17.938,1789683797.939,112258,-0.0137,-0.061,76710
2026-09-17T15:23:17.938,1789683797.939,112373,0.0069,0.031,72592
2026-09-17T15:23:17.939,1789683797.939,112488,0.0831,0.369,58562
2026-09-17T15:23:18.343,1789683798.344,112604,0.1265,0.563,54835
2026-09-17T15:23:18.344,1789683798.344,112719,0.2522,1.122,34611
2026-09-17T15:23:18.344,1789683798.344,112834,0.5389,2.397,-21881
2026-09-17T15:23:18.344,1789683798.344,112950,1.1685,5.198,-111731
2026-09-17T15:23:18.748,1789683798.749,113065,1.8530,8.242,-193377
2026-09-17T15:23:18.749,1789683798.749,113181,2.7192,12.096,-298365
2026-09-17T15:23:18.749,1789683798.749,113296,3.6195,16.100,-405114
2026-09-17T15:23:19.151,1789683799.152,113412,4.3597,19.393,-476107
2026-09-17T15:23:19.152,1789683799.152,113527,4.8170,21.427,-518289
2026-09-17T15:23:19.152,1789683799.153,113642,4.4619,19.847,-364378
2026-09-17T15:23:19.152,1789683799.153,113758,2.7297,12.142,-137867
2026-09-17T15:23:19.556,1789683799.557,113873,1.1131,4.951,-17268
2026-09-17T15:23:19.557,1789683799.557,113988,0.5939,2.642,18689
2026-09-17T15:23:19.557,1789683799.557,114104,0.3725,1.657,44548
2026-09-17T15:23:19.961,1789683799.961,114220,0.2062,0.917,58798
2026-09-17T15:23:19.961,1789683799.962,114334,0.0677,0.301,75294
2026-09-17T15:23:19.961,1789683799.962,114450,-0.0107,-0.047,70287
2026-09-17T15:23:19.961,1789683799.962,114566,0.0736,0.327,69572
2026-09-17T15:23:20.363,1789683800.364,114680,0.0314,0.140,68898
2026-09-17T15:23:20.364,1789683800.364,114796,0.1565,0.696,59694
2026-09-17T15:23:20.364,1789683800.365,114912,0.0330,0.147,71170
2026-09-17T15:23:20.364,1789683800.365,115027,0.0982,0.437,65873
2026-09-17T15:23:20.768,1789683800.768,115142,0.0291,0.130,73214
2026-09-17T15:23:20.768,1789683800.768,115258,-0.0021,-0.009,76038
2026-09-17T15:23:20.768,1789683800.769,115374,-0.0137,-0.061,76646
2026-09-17T15:23:21.170,1789683801.170,115488,0.0063,0.028,73730
2026-09-17T15:23:21.170,1789683801.171,115604,0.0114,0.051,65426
2026-09-17T15:23:21.170,1789683801.171,115720,0.1049,0.467,70727
2026-09-17T15:23:21.170,1789683801.171,115834,0.0324,0.144,67329
2026-09-17T15:23:21.573,1789683801.574,115950,0.0509,0.226,74702
2026-09-17T15:23:21.574,1789683801.574,116066,0.0111,0.049,75003
2026-09-17T15:23:21.574,1789683801.574,116180,-0.0146,-0.065,77574
2026-09-17T15:23:21.974,1789683801.975,116296,0.0007,0.003,69251
2026-09-17T15:23:21.975,1789683801.975,116412,0.0746,0.332,67750
2026-09-17T15:23:21.975,1789683801.975,116527,0.0249,0.111,74401
2026-09-17T15:23:21.975,1789683801.976,116642,-0.0210,-0.094,79531
2026-09-17T15:23:22.378,1789683802.379,116758,-0.0313,-0.139,77775
2026-09-17T15:23:22.378,1789683802.379,116873,-0.0562,-0.250,79577
2026-09-17T15:23:22.379,1789683802.379,116988,-0.0234,-0.104,78024
2026-09-17T15:23:22.781,1789683802.781,117104,-0.0194,-0.086,76980
2026-09-17T15:23:22.781,1789683802.782,117219,-0.0137,-0.061,76462
2026-09-17T15:23:22.781,1789683802.782,117335,-0.0135,-0.060,76250
2026-09-17T15:23:23.186,1789683803.187,117450,-0.0063,-0.028,76623
2026-09-17T15:23:23.186,1789683803.187,117565,-0.0112,-0.050,74757
2026-09-17T15:23:23.187,1789683803.187,117681,-0.0084,-0.037,76277
2026-09-17T15:23:23.187,1789683803.187,117796,0.1141,0.508,61883
2026-09-17T15:23:23.588,1789683803.588,117912,0.0533,0.237,68668
2026-09-17T15:23:23.588,1789683803.589,118027,0.0345,0.154,60988
2026-09-17T15:23:23.588,1789683803.589,118142,0.1562,0.695,44467
2026-09-17T15:23:23.992,1789683803.993,118258,0.1067,0.475,77891
2026-09-17T15:23:23.992,1789683803.993,118373,0.0038,0.017,65218
2026-09-17T15:23:23.993,1789683803.993,118489,0.2522,1.122,45207
